kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,infraspecificEpithet,specificEpithet,scientificNameAuthorship,scientificNameAuthorshipYear,scientificName,continent,country,habitat,locality,county,decimalLatitude,decimalLongitude,eventTemperature,eventRelHum,eventAltitude,sampleStrata,day,month,year,materialSampleID,samplingLocationID,samplingProtocol,sampleSizeValue,samplingEffort,timePerSample,plantAnemochory,plantAnemophily,plantAutochory,plantCantarophily,plantChiropterophily,plantChiropterochory,plantEntomophily,plantHidrochory,plantIctiochory,plantLeafArea,plantLeafNitrogen,plantLeafPhosphorus,plantLifeForm,plantMammalochory,plantMelithophily,plantOrnitochory,plantOrnitophily,plantPhalaenophily,plantHeight,plantPsychophily,plantSaurochory,plantDBH,plantWoodDensity,plantZoochory,plantZoophily,categoryThreatMMA,categoryThreatIUCN,speciesRefSyndromePollination,speciesRefSyndromeDispersal,plantDisperSyndromeRef,plantPollinSyndromeRef
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,680,understory,4,4,2022,25411,CN02,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,2.5,0,0,17,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,680,understory,4,4,2022,25567,CN02,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,2.5,0,0,16,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,680,understory,4,4,2022,25572,CN02,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,5,0,0,17,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Socratea,,,exorrhiza,(Mart.) H.Wendl.  ,,Socratea exorrhiza (Mart.) H.Wendl.  ,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.137579,-50.45285,,,412,understory,11,5,2022,25633,CN06,quadrat methods,,,,0,0,0,0,0,1,1,0,0,10.75825627,18.07,1.24,palm,1,0,1,0,0,4,0,1,22.5,0.2275,1,0,NE,LC,Sorocea guilleminiana,,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Socratea,,,exorrhiza,(Mart.) H.Wendl.  ,,Socratea exorrhiza (Mart.) H.Wendl.  ,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.137579,-50.45285,,,412,understory,11,5,2022,25745,CN06,quadrat methods,,,,0,0,0,0,0,1,1,0,0,10.75825627,18.07,1.24,palm,1,0,1,0,0,5,0,1,40,0.2275,1,0,NE,LC,Sorocea guilleminiana,,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Socratea,,,exorrhiza,(Mart.) H.Wendl.  ,,Socratea exorrhiza (Mart.) H.Wendl.  ,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.137579,-50.45285,,,412,understory,13,5,2022,25878,CN06,quadrat methods,,,,0,0,0,0,0,1,1,0,0,10.75825627,18.07,1.24,palm,1,0,1,0,0,4,0,1,21.5,0.2275,1,0,NE,LC,Sorocea guilleminiana,,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.137579,-50.45285,,,412,understory,13,5,2022,25896,CN06,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,2.5,0,0,17,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.137579,-50.45285,,,412,understory,13,5,2022,25903,CN06,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,4,0,0,18.5,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Socratea,,,exorrhiza,(Mart.) H.Wendl.  ,,Socratea exorrhiza (Mart.) H.Wendl.  ,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.137579,-50.45285,,,412,understory,13,5,2022,25954,CN06,quadrat methods,,,,0,0,0,0,0,1,1,0,0,10.75825627,18.07,1.24,palm,1,0,1,0,0,2,0,1,17.5,0.2275,1,0,NE,LC,Sorocea guilleminiana,,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.244426,-50.31531,,,,understory,17,5,2022,26070,CN11,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,6,0,0,17.9,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.244426,-50.31531,,,,understory,18,5,2022,26283,CN11,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,4,0,0,17,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Attalea,,,maripa,(Aubl.) Mart.,,Attalea maripa (Aubl.) Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.244426,-50.31531,,,,understory,18,5,2022,26389,CN11,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,16,0,0,120,,1,0,NE,LC,,,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.",
Plantae,Magnoliophyta,Embryopsida,Boraginales,Boraginaceae,,,Cordia,,,exaltata,Lam.,,Cordia exaltata Lam.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.145874,-50.43998,,,670,canopy,24,3,2022,24281,CN05,quadrat methods,,,,0,0,0,0,0,0,1,0,0,9.86083432,36.63962,0.923041375,tree,1,1,1,0,0,26,0,0,31.7,0.41,1,0,NE,LC,Cordia leucocephala  & Cordia monosperma,,David et al. 2015 Frugivory and seed dispersal by birds and mammals in the coastal tropical dry evergreen forests of southern India: A review,"Quirino, Z. G. M., & Machado, I. C. (2014). Pollination syndromes in a Caatinga plant community in northeastern Brazil: seasonal availability of floral resources in different plant growth habits. Brazilian Journal of Biology, 74, 62-71.+Ishara & Maimoni-Rodella 2009"
